
"9,2F5E,C59,59DC,A4C,1D8E,2B71,15DE,1F96"
"9,3128,C4E,5BB4,C38,1F5B,2D4B,17C4,2179"
"9,32D7,C42,5D5F,DDB,20E1,2EFE,1967,232B"
"9,347C,C48,5EEB,F80,229A,30A7,1AFD,24B6"
"9,3666,C4F,60B2,114C,2470,3269,1CCD,2686"
"9,37F1,C5C,6255,12D3,25F9,33F4,1E74,2829"
"9,397B,C57,63EA,1481,27AC,3598,2022,29D1"
"9,3B22,C65,65A9,1622,293D,3746,21AD,2B72"
"9,3CD2,C67,6748,17D2,2AF2,38F0,235B,2D0D"
"9,3E88,C5E,68E9,1979,2C89,3AA1,2508,2EBE"
"9,4031,C38,6A8D,1B1D,2E3E,3C3D,269B,3062"
"9,41BB,C30,6C17,1CA2,2FCF,3DD5,2837,31DE"
"9,4374,C4F,6DE9,1E6D,31A8,3FA0,2A00,33AB"
"9,455D,C74,6FD4,205B,337D,4185,2BED,35A0"
"9,4707,C5D,7169,2209,351D,4328,2DA8,3749"
"9,48C4,C56,72FC,239A,36C5,44C1,2F4D,38EC"
"9,4A47,C59,74A4,2524,3856,4663,30E9,3A73"
"9,4BCC,C66,7658,26CE,3A14,480C,328D,3C26"
"9,4D80,C67,7809,289C,3BB1,49AF,3440,3DDD"
"9,4F1D,C59,79A5,2A34,3D43,4B47,35BD,3F7C"
"9,50B8,C61,7B63,2BE3,3EFD,4CF2,3761,410B"
"9,52B3,C52,7D1D,2DB1,40E0,4ED7,3956,42F4"
"9,5456,C65,7EAD,2F37,427A,5080,3AEB,4469"
"9,55EC,C74,805E,30F6,4422,522C,3C76,461D"
"9,57AE,C57,8214,32CE,45DA,53F1,3E3E,47E1"
"9,595B,C48,83CC,347E,4789,55A1,3FF9,499C"
"9,5B1B,C42,8565,362F,493A,5747,41A7,4B49"
"9,5CB8,C4D,870E,37C6,4AD4,58D0,434B,4CD9"
"9,5E36,C51,88A3,394A,4C67,5A82,44DC,4E83"
"9,5F45,C4D,89A6,3A4E,4D6B,5B84,45D8,4F81"
"9,5E57,C3E,88BB,396A,4C83,5A7F,44DC,4E7F"
"9,5CCD,C41,8712,37D3,4AE8,58EE,4361,4D05"
"9,5B20,C4A,8581,3639,4949,5746,41C7,4B5E"
"9,598D,C5C,83E8,3498,47A7,55AF,402F,49C2"
"9,57D4,C59,8231,32DE,4601,53F6,3E76,480A"
"9,5623,C3B,8049,3107,443C,5248,3CAB,4649"
"9,5472,C40,7EA3,2F65,429C,50A3,3B05,44A9"
"9,52DB,C4C,7D2E,2DDA,40EA,4EFB,3986,4311"
"9,50FE,C48,7B63,2C0C,3F0F,4D34,37B5,411E"
"9,4F66,C43,79C5,2A5C,3D76,4B8F,3616,3F7D"
"9,4DC1,C5C,7804,28AE,3BC6,49E9,345F,3DDE"
"9,4C27,C48,7651,2719,3A35,484C,32BF,3C63"
"9,4A7D,C3F,74CD,256C,388F,4695,3110,3ABF"
"9,48DD,C4B,7330,23EF,36FF,4500,2F81,3916"
"9,4730,C48,7189,2235,3550,4357,2DD6,3776"
"9,4590,C58,6FE3,2067,338B,41B6,2C2D,35C9"
"9,43D8,C58,6E15,1EA8,31C5,3FE2,2A5D,3401"
"9,41FF,C56,6C55,1CE2,3007,3E18,2885,3227"
"9,405C,C5C,6AB8,1B4E,2E62,3C7C,26E9,3082"
"9,3EA2,C54,690C,1997,2CC2,3AD7,2540,2EC7"
"9,3CF6,C56,675F,17FF,2B27,3933,239F,2D26"
"9,3B5F,C4E,65C5,1665,297B,3793,21FB,2B88"
"9,39CB,C4F,641A,14B0,27E2,35F4,2065,29E6"
"9,382A,C70,627E,131B,264D,344D,1EAD,284F"
"9,3684,C64,60D6,118D,24A9,32A8,1D15,26A5"
"9,34A9,C4D,5F08,FA7,22C2,30DA,1B51,24D5"
"9,3316,C59,5D72,E0D,2127,2F43,19B3,2347"
"9,314F,C61,5BD3,C66,1F76,2D99,17F4,2192"
"9,2F8D,C72,5A06,A9F,1DB1,2BD3,1632,1FC5"
"9,2DE7,C6B,584A,8FE,1C09,2A0B,1481,1E26"
"9,2C40,C43,56B3,761,1A70,286E,12D3,1C91"
"9,2AA9,C5C,5500,5B7,18D1,26CE,112C,1ADF"
"9,2921,C6D,5360,424,1757,2569,FB2,195D"
"9,2787,C73,51BC,289,1591,23B8,E14,17BC"
"9,25CF,C6F,5005,BD,13C8,21E4,C4D,15E0"
"9,2405,C6B,4E85,FFFEFC,1214,2032,A9C,1445"
"9,2245,C57,4CBE,FFFD2F,104F,1E60,8E4,1285"
"9,2077,C72,4AF0,FFFB7C,E92,1CA6,718,10C0"
"9,1F1C,C7F,4990,FFFA2D,D49,1B5E,5CD,F5E"
"9,1D82,C68,47DC,FFF87E,BAF,19C1,42D,DBC"
"9,1BB3,C69,45F6,FFF6BA,9E7,17F1,25B,BEE"
"9,1A03,C60,4441,FFF511,826,1640,B3,A44"
"9,185C,C73,4291,FFF36B,66F,1493,FFFF0E,8A1"
"9,16A9,C72,4104,FFF1A9,4B4,12D6,FFFD3B,6E1"
"9,1500,C78,3F61,FFEFF8,31A,111D,FFFB90,531"
"9,136D,C66,3DAD,FFEE6B,186,F85,FFFA02,3A6"
"9,11D1,C6D,3C0E,FFECAC,FFFFD7,DEE,FFF863,1EB"
"9,1008,C66,3A71,FFEB0A,FFFE33,C49,FFF6C2,3B"
"9,E48,C72,38B5,FFE94F,FFFC60,A92,FFF4E4,FFFE85"
"9,D2F,C88,379D,FFE835,FFFB4F,973,FFF3E2,FFFD88"
"9,E2B,C6A,3891,FFE92E,FFFC50,A57,FFF4C4,FFFE70"
"9,FF8,C70,3A62,FFEAF8,FFFE18,C07,FFF67E,27"
"9,11A7,C89,3C15,FFEC9B,FFFFC2,DBD,FFF822,1CC"
"9,1353,C6F,3DB2,FFEE66,16C,F8D,FFF9ED,37A"
"9,14E9,C60,3F42,FFEFF6,314,1126,FFFB92,503"
"9,168E,C59,40DC,FFF196,4AF,12B7,FFFD31,6B3"
"9,184F,C67,4281,FFF359,675,146D,FFFEE6,87D"
"9,19F3,C6E,442E,FFF4F5,80F,161F,97,A04"
"9,1B89,C61,45D9,FFF6A1,9B6,17E6,23D,BB7"
"9,1D52,C6C,47C2,FFF861,B89,1991,3F9,D76"
"9,1F0A,C6F,4971,FFFA11,D2C,1B29,59A,F3D"
"9,207F,C60,4AE1,FFFB80,E93,1C92,707,10A2"
"9,221E,C6B,4CA2,FFFD3D,1046,1E59,8B7,1253"
"9,23CE,C61,4E60,FFFEF1,1206,200C,A77,1417"
"9,25B0,C56,4FF6,9E,13BE,21C4,C35,15CA"
"9,2768,C64,518E,261,157D,2385,DED,1787"
"9,290C,C63,5331,400,1714,2522,F93,192F"
"9,2A8B,C7C,54F7,590,18AE,269F,111D,1AB8"
"9,2C37,C84,56AD,73F,1A64,2874,12E7,1C59"
"9,2DD2,C75,5836,8E1,1BF9,2A13,1493,1E0A"
"9,2F7A,C5B,59E1,AA1,1DA7,2BBA,1636,1FCA"
"9,3150,C5A,5BB4,C63,1F68,2D8B,17ED,2198"
"9,330C,C4B,5D62,E17,2112,2F40,19AA,2337"
"9,34A7,C56,5EF5,FB5,22C8,30D3,1B4B,24E4"
"9,3678,C43,60B1,1196,249F,32A4,1D18,26B9"
"9,3806,C52,6265,130E,2630,3427,1E94,284A"
"9,3997,C5E,6406,14A3,27CF,35B7,2033,29DC"
"9,3B40,C69,65AB,164E,2969,375C,21DB,2B76"
"9,3D02,C5E,6759,1819,2B1E,3920,23A8,2D2C"
"9,3E98,C4A,68E3,19AD,2CBB,3AB8,252C,2EDC"
"9,404E,C48,6A9A,1B45,2E63,3C59,26DC,3078"
"9,41DF,C52,6C1C,1CE4,2FE5,3DEE,287C,3209"
"9,43AA,C55,6DEA,1EA8,31B2,3FBB,2A3D,33CB"
"9,4585,C56,6FD8,209C,33A8,41A5,2C11,35B4"
"9,4720,C64,716E,2239,3560,4342,2DCD,3773"
"9,48D2,C4F,7311,23CC,36E2,44D7,2F65,38FB"
"9,4A79,C39,74AD,257D,387F,468F,310E,3AA3"
"9,4C1E,C39,7672,2736,3A30,4836,32A5,3C3F"
"9,4DB6,C4C,780E,28DA,3BD9,49DF,3451,3DF2"
"9,4F69,C25,7980,2A6C,3D91,4B87,35DF,3F90"
"9,511C,C31,7B2B,2C18,3F3E,4D20,37A4,4140"
"9,52EE,C3A,7D1C,2DFE,410E,4EEE,3974,4318"
"9,5484,C51,7EB9,2F93,4297,50A4,3B18,44BC"
"9,5630,C59,8051,3146,444B,5240,3CA8,464B"
"9,57E8,C47,8214,32F3,4617,53FD,3E75,47FA"
